System #  & Galaxy  &        Target  &                  $\rho$  & Az.  & $V_{sys}$  & $V_{rot}$  & $V_{Ly\alpha}$  & $W_{Ly\alpha}$  & Cyl. Model  &  NFW Model  \\
1  &        CGCG039-137  &   RX_J1121.2+0326  &         99  &     71  &  6918  &      143  &       6975  &           678  &            6881 - 7079  & 6881 - 7106  \\
2  &        ESO343-G014  &   RBS1768  &                 466  &    74  &  9139  &      -205  &      9308  &           63  &             8904 - 9155  & 8985 - 9176  \\
2  &        ESO343-G014  &   RBS1768  &                 466  &    74  &  9139  &      -205  &      9360  &           306  &            8904 - 9155  & 8985 - 9176  \\
2  &        ESO343-G014  &   RBS1768  &                 466  &    74  &  9139  &      -205  &      9434  &           161  &            8904 - 9155  & 8985 - 9176  \\
3  &        IC5325  &        RBS2000  &                 314  &    64  &  1512  &      -125  &      1598  &           35  &             1467 - 1499  & 1479 - 1520  \\
4  &        MCG-03-58-009  & MRC2251-178  &             355  &    71  &  9015  &      171  &       9029  &           62  &             8985 - 9171  & 8969 - 9117  \\
5  &        NGC1566  &       1H0419-577  &              303  &    10  &  1502  &      195  &       1075  &           249  &            1534 - 1592  & 1485 - 1547  \\
5  &        NGC1566  &       1H0419-577  &              303  &    10  &  1502  &      195  &       1123  &           269  &            1534 - 1592  & 1485 - 1547  \\
5  &        NGC1566  &       1H0419-577  &              303  &    10  &  1502  &      195  &       1188  &           240  &            1534 - 1592  & 1485 - 1547  \\
5  &        NGC1566  &       1H0419-577  &              303  &    10  &  1502  &      195  &       1264  &           91  &             1534 - 1592  & 1485 - 1547  \\
5  &        NGC1566  &       1H0419-577  &              303  &    10  &  1502  &      195  &       2020  &           9  &              1534 - 1592  & 1485 - 1547  \\
6  &        NGC1566  &       HE0429-5343  &             256  &    60  &  1502  &      -195  &      1167  &           79  &             1439 - 1506  & 1470 - 1525  \\
6  &        NGC1566  &       HE0429-5343  &             256  &    60  &  1502  &      -195  &      1358  &           136  &            1439 - 1506  & 1470 - 1525  \\
7  &        NGC2770  &       FBQSJ0908+3246  &          204  &    59  &  1948  &      148  &       1915  &           202  &            1798 - 1946  & 1825 - 1959  \\
7  &        NGC2770  &       FBQSJ0908+3246  &          204  &    59  &  1948  &      148  &       1982  &           230  &            1798 - 1946  & 1825 - 1959  \\
8  &        NGC2770  &       TON1009  &                 267  &    41  &  1948  &      148  &       1908  &           111  &            1798 - 1912  & 1832 - 1937  \\
