pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[380.0, 385.0]",6563.851684,6596.756273,0.079427691,0.106085,IC5325,1502,7,25,9,518,18.1,1.8
"[385.0, 390.0]",6563.272476,6596.174161,0.12422032,0.163787,,,,,,,,
"[410.0, 415.0]",6563.546727,6596.449787,26.32884825,0.101364,,,,,,,,
"[415.0, 420.0]",6563.657719,6596.561335,29.47243103,0.019505,,,,,,,,
"[420.0, 425.0]",6563.77609,6596.6803,39.65011989,0.020854,,,,,,,,
"[425.0, 430.0]",6563.814229,6596.71863,0.089831778,0.117753,,,,,,,,
"[430.0, 435.0]",6563.729297,6596.633271,19.97664002,0.030463,,,,,,,,
"[435.0, 440.0]",6563.616655,6596.520066,25.35676321,0.052907,,,,,,,,
"[440.0, 445.0]",6563.556376,6596.459484,31.25449151,0.018205,,,,,,,,
"[445.0, 450.0]",6563.512443,6596.41533,24.71694652,0.023993,,,,,,,,
"[450.0, 455.0]",6563.468217,6596.370883,24.49407266,0.034695,,,,,,,,
"[455.0, 460.0]",6563.515014,6596.417915,28.19285596,0.032312,,,,,,,,
"[460.0, 465.0]",6563.64997,6596.553548,34.93882848,0.016436,,,,,,,,
"[465.0, 470.0]",6563.490075,6596.392851,32.9870965,0.01819,,,,,,,,
"[470.0, 475.0]",6563.452645,6596.355233,38.19390263,0.016917,,,,,,,,
"[475.0, 480.0]",6563.420324,6596.32275,41.7895061,0.013708,,,,,,,,
"[480.0, 485.0]",6563.408704,6596.311072,42.99073519,0.015217,,,,,,,,
"[485.0, 490.0]",6563.290669,6596.192445,50.88759262,0.019145,,,,,,,,
"[490.0, 495.0]",6563.511492,6596.414375,44.80040555,0.016668,,,,,,,,
"[495.0, 500.0]",6563.546752,6596.449812,47.20078408,0.016505,,,,,,,,
"[500.0, 505.0]",6563.612707,6596.516097,50.72292183,0.019183,,,,,,,,
"[505.0, 510.0]",6563.164219,6596.065361,61.15514704,0.015413,,,,,,,,
"[510.0, 515.0]",6562.933335,6595.833319,71.75260198,0.009118,,,,,,,,
"[515.0, 520.0]",6562.597723,6595.496026,119.6533478,0.00799,,,,,,,,
"[520.0, 525.0]",6562.095915,6594.991702,89.69034829,0.008903,,,,,,,,
"[525.0, 530.0]",6561.656488,6594.550072,83.41590563,0.01028,,,,,,,,
"[530.0, 535.0]",6561.465228,6594.357854,83.1351267,0.009999,,,,,,,,
"[535.0, 540.0]",6561.39191,6594.284168,122.6279976,0.011382,,,,,,,,
"[540.0, 545.0]",6561.587714,6594.480953,71.52628038,0.010755,,,,,,,,
"[545.0, 550.0]",6561.642078,6594.53559,50.43680058,0.010689,,,,,,,,
"[550.0, 555.0]",6561.525257,6594.418183,41.64547447,0.017026,,,,,,,,
"[555.0, 560.0]",6561.390548,6594.282799,35.78462418,0.025639,,,,,,,,
"[560.0, 565.0]",6561.532036,6594.424997,34.35457614,0.02162,,,,,,,,
"[565.0, 570.0]",6561.384339,6594.276558,31.42335907,0.020045,,,,,,,,
"[570.0, 575.0]",6561.3883,6594.28054,36.01437534,0.012524,,,,,,,,
"[575.0, 580.0]",6561.384822,6594.277044,37.88507762,0.010858,,,,,,,,
"[580.0, 585.0]",6561.418373,6594.310763,75.82109536,0.010114,,,,,,,,
"[585.0, 590.0]",6561.356128,6594.248207,40.11460673,0.010139,,,,,,,,
"[590.0, 595.0]",6561.166947,6594.058077,24.33965967,0.021892,,,,,,,,
"[595.0, 600.0]",6561.244046,6594.135562,23.31602261,0.023129,,,,,,,,
"[600.0, 605.0]",6561.168318,6594.059455,22.28627575,0.049952,,,,,,,,
"[605.0, 610.0]",6561.177326,6594.068508,27.00434292,0.061311,,,,,,,,
"[610.0, 615.0]",6561.220876,6594.112277,26.77077788,0.050261,,,,,,,,
"[615.0, 620.0]",6561.187794,6594.079028,26.01788513,0.037902,,,,,,,,
"[620.0, 625.0]",6561.1343,6594.025267,34.35592626,0.016839,,,,,,,,
"[625.0, 630.0]",6561.290913,6594.182664,27.05954894,0.017207,,,,,,,,
"[630.0, 635.0]",6561.289564,6594.181308,21.61881713,0.11651,,,,,,,,
"[645.0, 650.0]",6561.381336,6594.273541,17.02915134,0.081041,,,,,,,,
