pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[450.0, 455.0]",6558.961294,6756.523767,24.4325705,0.098763,MCG-03-58-009,9030,10,61,4,513.5,142,13.96
"[455.0, 460.0]",6558.44394,6755.99083,17.41003253,0.044912,,,,,,,,
"[460.0, 465.0]",6558,6755.533518,0.143994809,0.166801,,,,,,,,
"[465.0, 470.0]",6558.570625,6756.121331,32.88243917,0.026058,,,,,,,,
"[470.0, 475.0]",6558.825775,6756.384167,24.46451993,0.023856,,,,,,,,
"[475.0, 480.0]",6558.896869,6756.457401,17.38130791,0.082534,,,,,,,,
"[480.0, 485.0]",6558.825275,6756.383651,0.091172029,0.118999,,,,,,,,
"[485.0, 490.0]",6558.386923,6755.932095,21.50441483,0.086731,,,,,,,,
"[490.0, 495.0]",6558.871822,6756.4316,30.50680426,0.01901,,,,,,,,
"[495.0, 500.0]",6559.006027,6756.569847,25.61352832,0.022969,,,,,,,,
"[500.0, 505.0]",6559.734778,6757.320549,27.50404648,0.028439,,,,,,,,
"[505.0, 510.0]",6560.532634,6758.142437,36.51534406,0.168628,,,,,,,,
"[510.0, 515.0]",6561.305214,6758.938288,42.35581141,0.143692,,,,,,,,
"[520.0, 525.0]",6564.452946,6762.180834,25.35847451,0.123519,,,,,,,,
"[525.0, 530.0]",6564.786249,6762.524176,30.08212676,0.022969,,,,,,,,
"[530.0, 535.0]",6564.905764,6762.64729,31.02188207,0.028944,,,,,,,,
"[535.0, 540.0]",6564.905133,6762.646641,0.062337585,0.080844,,,,,,,,
"[540.0, 545.0]",6564.869332,6762.609761,26.50675335,0.046787,,,,,,,,
"[545.0, 550.0]",6564.959163,6762.702298,33.24895637,0.027157,,,,,,,,
"[550.0, 555.0]",6565.435413,6763.192893,25.8026742,0.044635,,,,,,,,
"[555.0, 560.0]",6565.327866,6763.082107,29.41574271,0.089772,,,,,,,,
