pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[250.0, 260.0]",6564.210893,6597.14354,44.00460719,0.050839,NGC1566,1504,2,48,3,510,7.19,4.17
"[260.0, 270.0]",6563.98314,6596.914644,39.75818216,0.048847,,,,,,,,
"[270.0, 280.0]",6563.656861,6596.586728,35.41640538,0.04511,,,,,,,,
"[280.0, 290.0]",6563.576284,6596.505746,0.142799866,0.182203,,,,,,,,
"[290.0, 300.0]",6563.463221,6596.392116,45.94294834,0.160684,,,,,,,,
"[300.0, 310.0]",6563.842406,6596.773204,0.144098085,0.188383,,,,,,,,
"[310.0, 320.0]",6563.852278,6596.783125,46.79163753,0.155918,,,,,,,,
"[320.0, 330.0]",6564.308285,6597.241419,52.79823805,0.180806,,,,,,,,
"[330.0, 340.0]",6564.263365,6597.196275,68.15567503,0.023834,,,,,,,,
"[340.0, 350.0]",6564.213088,6597.145745,60.18942946,0.024471,,,,,,,,
"[350.0, 360.0]",6563.801176,6596.731766,51.72486818,0.036449,,,,,,,,
"[360.0, 370.0]",6564.0553,6596.987165,62.57720134,0.023611,,,,,,,,
"[370.0, 380.0]",6564.354127,6597.287492,72.64457997,0.030842,,,,,,,,
"[380.0, 390.0]",6564.17885,6597.111336,46.95865422,0.1442,,,,,,,,
"[400.0, 410.0]",6564.690024,6597.625074,50.88436133,0.084591,,,,,,,,
"[410.0, 420.0]",6564.663413,6597.598329,57.12834657,0.114532,,,,,,,,
"[420.0, 430.0]",6564.990451,6597.927008,63.92737302,0.086397,,,,,,,,
"[430.0, 440.0]",6564.762944,6597.69836,77.75871377,0.028896,,,,,,,,
"[440.0, 450.0]",6565.052406,6597.989274,129.0636998,0.020392,,,,,,,,
"[450.0, 460.0]",6564.890704,6597.82676,120.7868324,0.029816,,,,,,,,
"[460.0, 470.0]",6564.509375,6597.443518,99.47422641,0.023085,,,,,,,,
"[470.0, 480.0]",6563.85959,6596.790473,87.49131726,0.033527,,,,,,,,
"[480.0, 490.0]",6563.168677,6596.096094,86.80807018,0.039446,,,,,,,,
"[490.0, 500.0]",6563.587499,6596.517017,0.098264728,0.124318,,,,,,,,
"[500.0, 510.0]",6563.7966,6596.7272,0.1067,0.1067,,,,,,,,
"[510.0, 520.0]",6562.086073,6595.008058,770.7387084,0.030259,,,,,,,,
"[520.0, 530.0]",6561.680891,6594.600844,83.93009416,0.094863,,,,,,,,
"[530.0, 540.0]",6562.272075,6595.194994,0.066790499,0.08834,,,,,,,,
"[540.0, 550.0]",6561.862896,6594.783762,60.3514953,0.077623,,,,,,,,
"[550.0, 560.0]",6561.267719,6594.185599,129.3028755,0.010203,,,,,,,,
"[560.0, 570.0]",6561.099749,6594.016786,149.2722026,0.012125,,,,,,,,
"[570.0, 580.0]",6560.680561,6593.595496,82.10433622,0.008679,,,,,,,,
"[580.0, 590.0]",6560.542873,6593.457117,147.8878436,0.038786,,,,,,,,
"[590.0, 600.0]",6560.470022,6593.3839,0.048780915,0.060562,,,,,,,,
"[600.0, 610.0]",6561.195465,6594.112983,328.0597733,0.1,,,,,,,,
"[610.0, 620.0]",6561.207206,6594.124783,79.07326577,0.068018,,,,,,,,
"[620.0, 630.0]",6561.655934,6594.575762,64.58127576,0.090153,,,,,,,,
"[630.0, 640.0]",6561.345943,6594.264216,75.31354092,0.101671,,,,,,,,
"[640.0, 650.0]",6561.392264,6594.310769,70.74294875,0.049561,,,,,,,,
"[650.0, 660.0]",6561.472036,6594.390942,75.01977999,0.015431,,,,,,,,
"[660.0, 670.0]",6561.365639,6594.28401,238.8531954,0.006289,,,,,,,,
"[670.0, 680.0]",6561.253699,6594.171509,169.6355095,0.009017,,,,,,,,
"[680.0, 690.0]",6561.075764,6593.992681,56.79702625,0.015923,,,,,,,,
"[690.0, 700.0]",6561.372973,6594.291381,48.79585756,0.026847,,,,,,,,
"[700.0, 710.0]",6561.449643,6594.368436,45.92698653,0.059755,,,,,,,,
"[710.0, 720.0]",6561.532163,6594.45137,63.93776888,0.023236,,,,,,,,
"[720.0, 730.0]",6561.664583,6594.584454,48.43200937,0.082502,,,,,,,,
"[730.0, 740.0]",6561.550384,6594.469683,45.41872931,0.032578,,,,,,,,
"[740.0, 750.0]",6561.660345,6594.580195,34.80691473,0.023508,,,,,,,,
