pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[170.0, 180.0]",6567.937476,6636.073259,29.65212258,0.136228,NGC4939,3110,4,48,4,513.5,38.91,5.5
"[180.0, 190.0]",6567.616547,6635.749001,37.1953993,0.091538,,,,,,,,
"[200.0, 210.0]",6566.976339,6635.102151,34.58474315,0.204417,,,,,,,,
"[270.0, 280.0]",6567.375826,6635.505783,44.52657965,0.028071,,,,,,,,
"[280.0, 290.0]",6567.11036,6635.237563,173.6504574,0.019265,,,,,,,,
"[290.0, 300.0]",6566.901903,6635.026943,41.05913507,0.055794,,,,,,,,
"[300.0, 310.0]",6566.822112,6634.946324,37.94112981,0.019254,,,,,,,,
"[310.0, 320.0]",6566.725303,6634.848511,26.05435315,0.076717,,,,,,,,
"[320.0, 330.0]",6568.265588,6636.404775,24.46611834,0.087927,,,,,,,,
"[350.0, 360.0]",6567.844039,6635.978853,33.21447978,0.03158,,,,,,,,
"[360.0, 370.0]",6567.729756,6635.863385,48.67050613,0.033639,,,,,,,,
"[370.0, 380.0]",6567.003967,6635.130066,31.72970471,0.144355,,,,,,,,
"[380.0, 390.0]",6567.053679,6635.180294,36.28169534,0.035378,,,,,,,,
"[390.0, 400.0]",6566.460033,6634.58049,18.54443519,0.103077,,,,,,,,
"[400.0, 410.0]",6567.71234,6635.845788,38.03742781,0.0605,,,,,,,,
"[420.0, 430.0]",6567.82845,6635.963102,52.84486276,0.063964,,,,,,,,
"[430.0, 440.0]",6567.683367,6635.816514,142.0012593,0.020788,,,,,,,,
"[440.0, 450.0]",6567.478819,6635.609844,48.68438267,0.05665,,,,,,,,
"[450.0, 460.0]",6567.46103,6635.59187,55.0007041,0.02035,,,,,,,,
"[460.0, 470.0]",6567.486074,6635.617175,68.69576733,0.041543,,,,,,,,
"[470.0, 480.0]",6567.248047,6635.376678,49.99305648,0.062939,,,,,,,,
"[480.0, 490.0]",6567.271022,6635.399892,74.18126471,0.080445,,,,,,,,
"[490.0, 500.0]",6565.516263,6633.626928,92.05137945,0.15085,,,,,,,,
"[500.0, 510.0]",6564.6423,6632.7439,0.9251,0.9346,,,,,,,,
"[510.0, 520.0]",6564.0622,6632.1578,0.7955,0.8038,,,,,,,,
"[520.0, 530.0]",6559.605,6627.6543,0.975,0.9851,,,,,,,,
"[530.0, 540.0]",6559.0853,6627.1293,1.4524,1.4675,,,,,,,,
"[550.0, 560.0]",6558.5895,6626.6283,1.3813,1.3956,,,,,,,,
"[560.0, 570.0]",6558.1909,6626.2256,0.8319,0.8405,,,,,,,,
"[570.0, 580.0]",6559.1797,6627.2246,2.4144,2.4395,,,,,,,,
"[580.0, 590.0]",6558.029,6626.062,0.6132,0.6195,,,,,,,,
"[590.0, 600.0]",6558.177105,6626.211635,52.59588181,0.086614,,,,,,,,
"[600.0, 610.0]",6559.9223,6627.975,2.4262,2.4514,,,,,,,,
"[610.0, 620.0]",6558.554899,6626.593347,45.20886461,0.105747,,,,,,,,
"[620.0, 630.0]",6558.682913,6626.722689,0.074099945,0.09797,,,,,,,,
"[630.0, 640.0]",6558.523335,6626.561456,79.20133111,0.028032,,,,,,,,
"[640.0, 650.0]",6558.360195,6626.396624,59.14770494,0.015289,,,,,,,,
"[650.0, 660.0]",6558.296887,6626.332659,42.98628281,0.043128,,,,,,,,
"[660.0, 670.0]",6558.058164,6626.09146,33.00700964,0.03903,,,,,,,,
"[700.0, 710.0]",6558.325197,6626.361262,35.82907947,0.013541,,,,,,,,
"[710.0, 720.0]",6558.631883,6626.67113,37.02439958,0.043219,,,,,,,,
"[750.0, 760.0]",6559.067074,6627.110836,42.70714954,0.219224,,,,,,,,
"[790.0, 800.0]",6558.841414,6626.882835,36.56348764,0.066869,,,,,,,,
"[800.0, 810.0]",6557.018605,6625.041116,0.0832751,0.109499,,,,,,,,
