pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[445.0, 450.0]",6566.023193,6766.687427,15.56553703,0.024764,RFGC3781,9162,45,90,5,516,126,12.6
"[450.0, 455.0]",6565.91608,6766.577042,26.76321304,0.010711,,,,,,,,
"[455.0, 460.0]",6566.095756,6766.762208,20.444228,0.023956,,,,,,,,
"[460.0, 465.0]",6565.987901,6766.651058,16.17938776,0.027995,,,,,,,,
"[465.0, 470.0]",6565.936431,6766.598014,18.99757637,0.04663,,,,,,,,
"[470.0, 475.0]",6566.122878,6766.790159,19.96352408,0.030254,,,,,,,,
"[475.0, 480.0]",6566.286304,6766.95858,38.41446453,0.014467,,,,,,,,
"[480.0, 485.0]",6566.133248,6766.800846,87.99785769,0.028605,,,,,,,,
"[485.0, 490.0]",6565.601914,6766.253274,40.8516987,0.024496,,,,,,,,
"[490.0, 495.0]",6564.942659,6765.573872,51.1720038,0.024551,,,,,,,,
"[495.0, 500.0]",6564.2911,6764.9024,0.6528,0.6727,,,,,,,,
"[500.0, 505.0]",6564.5041,6765.1219,1.0638,1.0964,,,,,,,,
"[505.0, 510.0]",6562.8441,6763.4111,0.3962,0.4083,,,,,,,,
"[510.0, 515.0]",6561.907549,6762.446005,44.2148962,0.023728,,,,,,,,
"[515.0, 520.0]",6561.234915,6761.752815,38.71593433,0.014846,,,,,,,,
"[520.0, 525.0]",6559.822449,6760.297183,40.66975611,0.02812,,,,,,,,
"[525.0, 530.0]",6558.107189,6758.529503,58.20364817,0.053531,,,,,,,,
"[530.0, 535.0]",6557.5124,6757.9165,1.1178,1.152,,,,,,,,
"[535.0, 540.0]",6557.783996,6758.196433,41.1589423,0.023298,,,,,,,,
"[540.0, 545.0]",6557.208335,6757.603179,35.98421955,0.018045,,,,,,,,
"[545.0, 550.0]",6556.508213,6756.88166,25.80654027,0.037508,,,,,,,,
"[555.0, 560.0]",6558.553989,6758.989958,28.61803029,0.065623,,,,,,,,
"[560.0, 565.0]",6558.228952,6758.654986,25.51709731,0.086942,,,,,,,,
"[565.0, 570.0]",6558.275916,6758.703386,21.87469595,0.190045,,,,,,,,
"[570.0, 575.0]",6557.609479,6758.016582,16.52901017,0.089482,,,,,,,,
"[575.0, 580.0]",6557.919541,6758.33612,14.43705143,0.072937,,,,,,,,
"[580.0, 585.0]",6558.526838,6758.961976,11.98429196,0.080815,,,,,,,,
