pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance
"[140.0, 150.0]",6567.746176,6607.356253,194.9137815,0.015361,NGC4536,1808,1,68,10,507.5,15.289
"[150.0, 160.0]",6567.639982,6607.249418,56.48038988,0.072128,,,,,,,
"[240.0, 250.0]",6567.038532,6606.644341,55.7201326,0.022892,,,,,,,
"[270.0, 280.0]",6565.553602,6605.150456,328.2776801,0.1,,,,,,,
"[290.0, 300.0]",6566.323223,6605.924718,42.77971261,0.06969,,,,,,,
"[300.0, 310.0]",6566.290391,6605.891689,52.67833008,0.089822,,,,,,,
"[310.0, 320.0]",6566.529872,6606.132613,53.35926372,0.078176,,,,,,,
"[320.0, 330.0]",6566.069357,6605.669321,50.50112761,0.108518,,,,,,,
"[330.0, 340.0]",6565.972872,6605.572254,0.088181647,0.115864,,,,,,,
"[340.0, 350.0]",6565.835393,6605.433946,0.060227385,0.079157,,,,,,,
"[350.0, 360.0]",6567.359366,6606.967111,72.14598009,0.054385,,,,,,,
"[360.0, 370.0]",6565.98708,6605.59,x,0.10997,,,,,,,
"[370.0, 380.0]",6566.04895,6605.65,x,0.106859,,,,,,,
"[380.0, 390.0]",6565.790245,6605.388526,0.068985337,0.092035,,,,,,,
"[390.0, 400.0]",6565.946,6605.54,x,0.078487,,,,,,,
"[400.0, 410.0]",6565.54275,6605.14,x,0.131471,,,,,,,
"[410.0, 420.0]",6565.891803,6605.490696,0.062178292,0.082812,,,,,,,
"[420.0, 430.0]",6565.951519,6605.550773,0.056186503,0.072467,,,,,,,
"[430.0, 440.0]",6567.991367,6607.602923,107.4841067,0.022024,,,,,,,
"[440.0, 450.0]",6567.816077,6607.426576,128.6373987,0.056642,,,,,,,
"[450.0, 460.0]",6568.151124,6607.763643,130.112956,0.057964,,,,,,,
"[460.0, 470.0]",6568.67655,6608.292238,153.5482606,0.045315,,,,,,,
"[470.0, 480.0]",6568.36243,6607.976224,400.737305,0.017586,,,,,,,
"[480.0, 490.0]",6567.999548,6607.611153,870.3639451,0.017909,,,,,,,
"[490.0, 500.0]",6567.464332,6607.072709,3829.951657,0.025631,,,,,,,
"[500.0, 510.0]",6566.117766,6605.718022,30189.54473,0.036532,,,,,,,
"[510.0, 520.0]",6562.848742,6602.429283,5470.618146,0.009762,,,,,,,
"[520.0, 530.0]",6562.006631,6601.582093,616.2679956,0.006576,,,,,,,
"[530.0, 540.0]",6561.613572,6601.186664,266.1067301,0.009444,,,,,,,
"[540.0, 550.0]",6561.505435,6601.077874,203.2271254,0.009515,,,,,,,
"[550.0, 560.0]",6561.318024,6600.889333,180.928956,0.058025,,,,,,,
"[560.0, 570.0]",6561.043197,6600.612849,234.9120052,0.059385,,,,,,,
"[580.0, 590.0]",6561.424286,6600.996236,0.216483567,0.279933,,,,,,,
"[590.0, 600.0]",6561.0451,6600.614763,175.4517063,0.01604,,,,,,,
"[600.0, 610.0]",6561.159551,6600.729904,144.2088711,0.022047,,,,,,,
"[610.0, 620.0]",6560.962739,6600.531905,236.2726644,0.013164,,,,,,,
"[620.0, 630.0]",6561.307711,6600.878958,144.2230809,0.021608,,,,,,,
"[630.0, 640.0]",6561.599528,6601.172535,144.6461742,0.086472,,,,,,,
"[640.0, 650.0]",6561.608793,6601.181856,134.3408543,0.106966,,,,,,,
"[650.0, 660.0]",6561.406882,6600.978726,121.35547,0.081111,,,,,,,
"[660.0, 670.0]",6561.675438,6601.248903,0.116533281,0.147257,,,,,,,
"[670.0, 680.0]",6561.915432,6601.490344,168.3986251,0.277439,,,,,,,
"[680.0, 690.0]",6561.758598,6601.332564,136.7431444,0.195698,,,,,,,
"[710.0, 720.0]",6561.811815,6601.386102,141.8201821,0.108928,,,,,,,
"[730.0, 740.0]",6561.650519,6601.223834,0.144649404,0.179125,,,,,,,
"[740.0, 750.0]",6561.411747,6600.983621,139.005694,0.017887,,,,,,,
"[750.0, 760.0]",6561.433769,6601.005776,127.5675375,0.034768,,,,,,,
"[800.0, 810.0]",6561.582735,6601.15564,117.8354056,0.038096,,,,,,,
"[810.0, 820.0]",6561.713351,6601.287044,119.6761281,0.028597,,,,,,,
"[870.0, 880.0]",6561.80908,6601.383351,0.176299634,0.215725,,,,,,,
"[880.0, 890.0]",6561.66217,6601.235555,210.4088919,0.161738,,,,,,,
"[890.0, 900.0]",6562.212242,6601.788944,149.7796128,0.13144,,,,,,,
"[900.0, 910.0]",6561.832737,6601.40715,164.7732086,0.071197,,,,,,,
"[910.0, 920.0]",6561.787817,6601.361959,193.8843613,0.013678,,,,,,,
"[920.0, 930.0]",6561.813342,6601.387638,437.1268298,0.011155,,,,,,,
"[930.0, 940.0]",6561.543198,6601.115865,179.2371713,0.04301,,,,,,,
"[940.0, 950.0]",6561.857484,6601.432047,0.15270935,0.188973,,,,,,,
"[950.0, 960.0]",6561.623494,6601.196645,0.181455015,0.225585,,,,,,,
