pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance
"[220.0, 230.0]",6560.832528,6587.994374,23.43738038,0.063238,NGC5364,1241,4,57,10,510.5,19.513
"[260.0, 270.0]",6559.678734,6586.835803,0.154289913,0.20028,,,,,,,
"[270.0, 280.0]",6560.205864,6587.365116,34.80225045,0.037555,,,,,,,
"[280.0, 290.0]",6560.2256,6587.384934,66.18827278,0.014774,,,,,,,
"[290.0, 300.0]",6560.127818,6587.286747,83.05293957,0.011639,,,,,,,
"[300.0, 310.0]",6560.095818,6587.254615,53.80139218,0.014158,,,,,,,
"[310.0, 320.0]",6560.038701,6587.197261,53.88080232,0.015489,,,,,,,
"[320.0, 330.0]",6560.273742,6587.433275,40.22435761,0.017859,,,,,,,
"[330.0, 340.0]",6560.211846,6587.371123,45.13049475,0.035092,,,,,,,
"[340.0, 350.0]",6560.208562,6587.367826,33.78420175,0.099716,,,,,,,
"[350.0, 360.0]",6560.135328,6587.294289,30.62571654,0.128562,,,,,,,
"[370.0, 380.0]",6560.199913,6587.359141,0.073592687,0.096791,,,,,,,
"[380.0, 390.0]",6560.232915,6587.39228,34.2738014,0.046041,,,,,,,
"[390.0, 400.0]",6560.075352,6587.234064,45.3863336,0.025852,,,,,,,
"[400.0, 410.0]",6559.6827,6586.839787,42.09760369,0.019961,,,,,,,
"[410.0, 420.0]",6559.871254,6587.029121,54.33728288,0.023553,,,,,,,
"[420.0, 430.0]",6559.911458,6587.069491,94.99717536,0.011176,,,,,,,
"[430.0, 440.0]",6560.09498,6587.253773,119.2730504,0.013334,,,,,,,
"[440.0, 450.0]",6560.308491,6587.468168,45.12584421,0.03339,,,,,,,
"[450.0, 460.0]",6560.996858,6588.159385,53.38577519,0.028369,,,,,,,
"[460.0, 470.0]",6561.212184,6588.375602,69.60458763,0.021756,,,,,,,
"[470.0, 480.0]",6561.41645,6588.580714,54.4472894,0.0284,,,,,,,
"[480.0, 490.0]",6561.411139,6588.575381,0.058341478,0.077372,,,,,,,
"[490.0, 500.0]",6561.189397,6588.352721,0.104168735,0.137731,,,,,,,
"[500.0, 510.0]",6562.340417,6589.508506,88.58780707,0.035732,,,,,,,
"[510.0, 520.0]",6562.8065,6589.9765,0.0897,0.0897,,,,,,,
"[520.0, 530.0]",6564.263704,6591.439756,70.45974622,0.049777,,,,,,,
"[540.0, 550.0]",6564.430424,6591.607166,53.05743967,0.049332,,,,,,,
"[550.0, 560.0]",6564.616219,6591.79373,70.2634078,0.047065,,,,,,,
"[560.0, 570.0]",6564.873276,6592.051852,74.64104838,0.023532,,,,,,,
"[570.0, 580.0]",6564.996602,6592.175687,139.8410156,0.0157,,,,,,,
"[580.0, 590.0]",6564.969948,6592.148924,84.04262588,0.033889,,,,,,,
"[590.0, 600.0]",6564.909868,6592.088594,109.0426381,0.021429,,,,,,,
"[600.0, 610.0]",6564.941666,6592.120524,56.85160405,0.030937,,,,,,,
"[610.0, 620.0]",6565.128841,6592.308475,81.30595945,0.019663,,,,,,,
"[620.0, 630.0]",6565.281712,6592.461978,85.90011636,0.019619,,,,,,,
"[630.0, 640.0]",6565.530769,6592.712066,47.93690571,0.082803,,,,,,,
"[640.0, 650.0]",6565.465813,6592.646841,38.38960195,0.080487,,,,,,,
"[650.0, 660.0]",6565.503281,6592.684465,42.68292319,0.076825,,,,,,,
"[660.0, 670.0]",6565.619484,6592.801149,0.071907669,0.093236,,,,,,,
"[670.0, 680.0]",6565.732207,6592.914339,38.2249297,0.042682,,,,,,,
"[680.0, 690.0]",6565.913615,6593.096498,77.61439948,0.02001,,,,,,,
"[690.0, 700.0]",6565.937684,6593.120666,61.15931772,0.023785,,,,,,,
"[700.0, 710.0]",6565.815404,6592.99788,29.76424684,0.04272,,,,,,,
"[710.0, 720.0]",6565.857261,6593.03991,0.06571094,0.083995,,,,,,,
"[720.0, 730.0]",6565.804999,6592.987431,37.54431196,0.102281,,,,,,,
"[750.0, 760.0]",6565.66916,6592.85103,29.48991127,0.047812,,,,,,,
"[760.0, 770.0]",6566.007337,6593.190607,13.7246941,0.096097,,,,,,,
"[790.0, 800.0]",6565.348611,6592.529155,29.8732159,0.246184,,,,,,,
"[820.0, 830.0]",6565.407475,6592.588262,0.09781928,0.127272,,,,,,,
"[840.0, 850.0]",6565.217591,6592.397592,0.103277437,0.133433,,,,,,,
"[890.0, 900.0]",6565.031316,6592.210545,0.065347648,0.085668,,,,,,,
