pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance
"[410.0, 415.0]",6566.248919,6631.911409,25.62805942,0.07515,NGC5786,2981,5,65,10,502.5,30.56
"[415.0, 420.0]",6565.619712,6631.275909,33.9792156,0.024479,,,,,,,
"[420.0, 425.0]",6565.462241,6631.116864,49.44076029,0.01568,,,,,,,
"[425.0, 430.0]",6565.920535,6631.57974,48.16413754,0.015078,,,,,,,
"[430.0, 435.0]",6565.938356,6631.597739,57.14987787,0.020588,,,,,,,
"[435.0, 440.0]",6565.719405,6631.376599,29.59947329,0.083198,,,,,,,
"[440.0, 445.0]",6565.082628,6630.733454,21.66837848,0.039716,,,,,,,
"[445.0, 450.0]",6564.998683,6630.64867,19.9466261,0.031616,,,,,,,
"[450.0, 455.0]",6565.002406,6630.65243,22.75485561,0.055274,,,,,,,
"[455.0, 460.0]",6565.25854,6630.911126,24.35662203,0.034604,,,,,,,
"[460.0, 465.0]",6565.720868,6631.378076,40.58692382,0.128494,,,,,,,
"[465.0, 470.0]",6565.018076,6630.668257,23.91114933,0.092809,,,,,,,
"[470.0, 475.0]",6565.296452,6630.949417,31.17573782,0.020994,,,,,,,
"[475.0, 480.0]",6564.67826,6630.325042,23.2848934,0.026311,,,,,,,
"[480.0, 485.0]",6564.1927,6629.8346,0.0775,0.0775,,,,,,,
"[485.0, 490.0]",6563.117,6628.7481,0.3536,0.3536,,,,,,,
"[490.0, 495.0]",6565.1264,6630.7777,0.0326,0.0326,,,,,,,
"[495.0, 500.0]",6564.9165,6630.5656,0.3536,0.3536,,,,,,,
"[500.0, 505.0]",6561.4242,6627.0384,0.3536,0.3536,,,,,,,
"[505.0, 510.0]",6560.6149,6626.221,0.3536,0.3536,,,,,,,
"[510.0, 515.0]",6559.486478,6625.081343,47.57863018,0.011409,,,,,,,
"[515.0, 520.0]",6559.864164,6625.462806,31.38807386,0.012875,,,,,,,
"[520.0, 525.0]",6559.1337,6624.725,0.0237,0.0237,,,,,,,
"[525.0, 530.0]",6559.232987,6624.825317,37.53666786,0.026028,,,,,,,
"[530.0, 535.0]",6558.859847,6624.448445,41.26544546,0.011462,,,,,,,
"[535.0, 540.0]",6558.705999,6624.293059,21.05502705,0.01989,,,,,,,
"[540.0, 545.0]",6558.478542,6624.063328,19.4400188,0.069492,,,,,,,
"[545.0, 550.0]",6558.782495,6624.37032,17.28709031,0.076613,,,,,,,
"[550.0, 555.0]",6558.86756,6624.456236,16.54295603,0.050966,,,,,,,
"[555.0, 560.0]",6559.11439,6624.705534,0.108702577,0.140931,,,,,,,
"[560.0, 565.0]",6559.072172,6624.662894,27.96340518,0.059872,,,,,,,
"[565.0, 570.0]",6558.956471,6624.546036,17.16518041,0.032761,,,,,,,
"[570.0, 575.0]",6558.617607,6624.203783,17.42942748,0.06643,,,,,,,
