pixels,center,center_obs,center_std,real_std,name,vsys,vsys_error,inclination,inclination_error,centerTrace,distance,dist_err
"[350.0, 360.0]",6562.911794,6607.198323,20.83399546,0.028428,UGC09760,2023,2,90,4,513,26.4,5.02
"[360.0, 370.0]",6563.034141,6607.321496,26.88532368,0.039363,,,,,,,,
"[370.0, 380.0]",6562.990241,6607.277299,30.07187966,0.116066,,,,,,,,
"[380.0, 390.0]",6563.203266,6607.491762,24.19374358,0.045773,,,,,,,,
"[390.0, 400.0]",6563.561631,6607.852545,33.27524905,0.014231,,,,,,,,
"[400.0, 410.0]",6563.649018,6607.940521,27.35404647,0.047605,,,,,,,,
"[410.0, 420.0]",6563.511938,6607.802516,20.1287396,0.048517,,,,,,,,
"[430.0, 440.0]",6563.443844,6607.733963,18.55850672,0.067686,,,,,,,,
"[440.0, 450.0]",6563.780213,6608.072602,25.020473,0.036144,,,,,,,,
"[450.0, 460.0]",6563.657075,6607.948633,24.36018921,0.014053,,,,,,,,
"[460.0, 470.0]",6563.794046,6608.086528,30.31371264,0.052685,,,,,,,,
"[470.0, 480.0]",6563.858295,6608.15121,26.56486499,0.017343,,,,,,,,
"[480.0, 490.0]",6563.75858,6608.050823,30.88134676,0.020007,,,,,,,,
"[490.0, 500.0]",6563.776858,6608.069224,32.55657726,0.017805,,,,,,,,
"[500.0, 510.0]",6563.858209,6608.151124,32.48827013,0.009266,,,,,,,,
"[510.0, 520.0]",6564.011116,6608.305063,31.63740906,0.027019,,,,,,,,
"[520.0, 530.0]",6564.630244,6608.928369,26.13335221,0.015184,,,,,,,,
"[530.0, 540.0]",6564.517927,6608.815294,28.83142528,0.033457,,,,,,,,
"[540.0, 550.0]",6565.137557,6609.439106,35.18348697,0.10799,,,,,,,,
"[550.0, 560.0]",6564.542764,6608.840299,50.83670731,0.032085,,,,,,,,
"[560.0, 570.0]",6564.836117,6609.135631,30.33404003,0.022729,,,,,,,,
"[570.0, 580.0]",6564.578687,6608.876464,29.55444605,0.022198,,,,,,,,
"[580.0, 590.0]",6565.256581,6609.558932,21.07837854,0.036448,,,,,,,,
"[590.0, 600.0]",6565.475307,6609.779134,25.69295683,0.017202,,,,,,,,
"[600.0, 610.0]",6565.245632,6609.54791,23.58204634,0.037295,,,,,,,,
"[610.0, 620.0]",6565.505213,6609.809242,22.13614,0.065675,,,,,,,,
"[620.0, 630.0]",6565.338247,6609.64115,44.09991897,0.008023,,,,,,,,
"[630.0, 640.0]",6565.473991,6609.777809,32.17930063,0.009401,,,,,,,,
"[640.0, 650.0]",6565.722735,6610.028232,21.31191167,0.043923,,,,,,,,
"[660.0, 670.0]",6565.850975,6610.157337,22.20602386,0.091404,,,,,,,,
