Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,model_range,NFW_range,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC1566,1H0419-577,Lya,"990, 1100",8,1075,249,2,1.17E+14,1.54E+12,28.2,5.8,47,9.6,"blended with 1123, 1188 - errors are way too small?",0.005017,0.104,302.77587,65.00175,-54.93781,66.50291667,-57.20055556,1504,1501.9,14.9,64,13,86,21,"[48, 76]","[-2, 31]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,9.8,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,1H0419-577,Lya,"1100, 1168",1,1123,269,1,1.62E+14,2.15E+12,26.8,1.5,44.6,2.6,"blended with 1123, 1188 - errors are way too small?",0.005017,0.104,302.77587,65.00175,-54.93781,66.50291667,-57.20055556,1504,1501.9,14.9,64,13,86,21,"[48, 76]","[-2, 31]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,9.8,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,1H0419-577,Lya,"1168, 1252",7,1188,240,1,8.79E+13,8.93E+11,29.7,2,49.4,3.4,blended with 1123 - errors are way too small?,0.005017,0.104,302.77587,65.00175,-54.93781,66.50291667,-57.20055556,1504,1501.9,14.9,64,13,86,21,"[48, 76]","[-2, 31]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,9.8,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,1H0419-577,Lya,"1252, 1358",1,1264,91,2,2.02E+13,5.69E+11,32.5,2.6,54.1,4.3,blended with 1188 - errors are way too small?,0.005017,0.104,302.77587,65.00175,-54.93781,66.50291667,-57.20055556,1504,1501.9,14.9,64,13,86,21,"[48, 76]","[-2, 31]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,9.8,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,1H0419-577,Lya,"2004, 2048",1,2020,9,1,1.67E+12,2.66E+11,17.5,1.4,29.2,2.3,super weak,0.005017,0.104,302.77587,65.00175,-54.93781,66.50291667,-57.20055556,1504,1501.9,14.9,64,13,86,21,"[48, 76]","[-2, 31]",1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,9.8,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC5951,2E1530+1511,Lya,"1690, 1904",2,1795,507,31,1.85E+14,2.65E+13,62.7,3.2,104.5,5.4,blended with 1953,0.005937,0.09,54.959,233.42942,15.00728,233.3095833,15.0175,1780,1780,1,127.9,10,127.9,10,"[-31, 114]","[-32, 136]",1991,27.1,23.54,4.944,3.9,0.82,153.65,78,0,0,0,85,northeast,-90,.SB.5*/,208.04,0.24,5,101190,3,20.5,SBc:_sp,0,TF,12.3,-99.99,1.4,1.1,-99.99,-99.99
NGC5951,2E1530+1511,Lya,"1941, 2015",5,1953,137,19,3.63E+13,6.92E+12,26.8,1.8,44.7,2.9,"possibly a weak line between 1795, 1953",0.005937,0.09,54.959,233.42942,15.00728,233.3095833,15.0175,1780,1780,1,127.9,10,127.9,10,"[-31, 114]","[-32, 136]",1991,27.1,23.54,4.944,3.9,0.82,153.65,78,0,0,0,85,northeast,-90,.SB.5*/,208.04,0.24,5,101190,3,20.5,SBc:_sp,0,TF,12.3,-99.99,1.4,1.1,-99.99,-99.99
NGC3067,3C232,Lya,"920, 1492",1,1408,2092,42,1.13E+15,1.42E+14,212.8,6.2,354.4,10.3,"hard to fit, blended, very uncertain",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1476,4,148.2,2.7,148.2,2.7,"[-121, 25]","[-139, 26]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,3C232,Lya,"1440, 1600",1,1510,700,15,4.55E+14,1.02E+14,70.3,3.7,117.1,6.2,"hard to fit, blended, very uncertain",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1476,4,148.2,2.7,148.2,2.7,"[-121, 25]","[-139, 26]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,3C232,Lya,"1530, 2154",,1641,1635,47,8.22E+14,1.24E+14,191.9,5.3,319.5,8.8,"hard to fit, blended, very uncertain",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1476,4,148.2,2.7,148.2,2.7,"[-121, 25]","[-139, 26]",1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
