targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RX_J1121.2+0326,1471,NGC3640,25,"('170.30833333333334', '3.4297222222222223')","('170.27854', '3.23483')",0.769889264188177,0.7102575781549482,171.91391896736113,145.7872868257037,78.10849224941208,x,1582.0,1298.0,-173.0,22.7,x,27.7,22.2,37.0,100.0,88.7,238.86,.E.3...,1.0,100.0,E3,E3,0.00433,0.152,x,?,True,True,1471,"1438, 1504",227,5.71E+13,25.2,Lya,noisy
RX_J1121.2+0326,2605,NGC3633,2,"('170.30833333333334', '3.4297222222222223')","('170.10924', '3.58561')",0.1342052807750262,0.0038366488910329894,128.17349203645304,77.0048115379812,181.61599049680822,x,2884.0,2600.0,-5.0,41.2,x,18.1,6.5,69.0,70.0,58.1,72.14,.SA.1*/,0.33,72.0,SAa:_sp_HII,SAa:_sp_HII,0.008673,0.152,x,?,True,False,2605,"2533, 2667",190,4.60E+13,43.3,Lya,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1121.2+0326,6384.0,x,0,"('170.3083333', '3.429722222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.152,x,False,False,False,6384,"6307, 6413",182,4.70E+13,39.4,Lya,noisy : NO GALAXIES
RX_J1121.2+0326,6975,PGC034796,1,"('170.30833333333334', '3.4297222222222223')","('170.36231', '3.44491')",1.2292065508122771,1.0288887878757145,166.30553723674035,135.64565603070375,98.8858513998737,x,7186.0,6902.0,-73.0,101.21,x,26.4,12.9,61.0,145.0,70.7,-99.99,x,-99.99,-99,Scd,Scd,0.023022,0.152,x,?,True,True,6975,"6782, 7106",678,1.96E+14,113.3,Lya,noisy : ONLY 1 GALAXY
SDSSJ112224.10+031802.0,1049,NGC3640,11,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",0.23971927172991842,0.19177288860163932,171.91391896736113,145.7872868257037,129.95247320333513,x,1582.0,1298.0,249.0,22.7,x,27.7,22.2,37.0,100.0,21.6,238.86,.E.3...,-99.99,100.0,E3,E3,0.00433,0.47528,x,?,True,True,1049,"979, 1113",295,9.59E+13,41.4,Lya,in pilot paper
SDSSJ112224.10+031802.0,1264,NGC3640,21,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",1.0972842446249973,0.8778158205231219,171.91391896736113,145.7872868257037,129.95247320333513,x,1582.0,1298.0,34.0,22.7,x,27.7,22.2,37.0,100.0,21.6,238.86,.E.3...,-99.99,100.0,E3,E3,0.00433,0.47528,x,?,True,True,1264,"1187, 1359",423,1.51E+14,54.7,Lya,in pilot paper
SDSSJ112224.10+031802.0,6606,PGC034796,1,"('170.60041666666666', '3.3005555555555555')","('170.36231', '3.44491')",1.817350204422949e-05,2.2535643623686312e-07,166.30553723674035,135.64565603070375,491.23925027710317,x,7186.0,6902.0,296.0,101.21,x,26.4,12.9,61.0,145.0,23.7,-99.99,x,-99.99,-99,Scd,Scd,0.023022,0.47528,x,?,False,False,6606,"6556, 6656",70,1.44E+13,32.9,no,"not identified, looks like it's there to me : ONLY 1 GALAXY"
SDSSJ112224.10+031802.0,8872,SDSSJ112230.40+031545.8,1,"('170.60041666666666', '3.3005555555555555')","('170.62667', '3.26275')",0.8995244029320364,0.09497682185708411,121.74843978037151,68.8595091472485,104.12419396654934,x,9208.0,8924.0,52.0,129.69,x,16.8,9.4,56.0,148.0,2.7,-99.99,x,-99.99,-99,x,x,0.029767,0.47528,x,?,True,True,8872,"8772, 8966",432,1.39E+14,56.3,Lya,"in pilot paper, blended with Lye : ONLY 1 GALAXY"
SDSSJ112224.10+031802.0,9890.0,x,0,"('170.6004167', '3.300555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.47528,x,False,False,False,9890,"9837, 9947",51,1.01E+13,48.7,Lya,"weak, in pilot paper : NO GALAXIES"
SDSSJ112224.10+031802.0,10193.0,x,0,"('170.6004167', '3.300555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.47528,x,False,False,False,10193,"10136, 10276",197,4.83E+13,42.1,Lya,out of range : NO GALAXIES
