targetName,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RX_J1121.2+0326,1471,NGC3640,25,"('170.30833333333334', '3.4297222222222223')","('170.27854', '3.23483')",0.769889264,0.710257578,171.913919,145.7872868,78.10849225,x,1582,1298,-173,22.7,x,27.7,22.2,37,100,88.7,238.86,.E.3...,1,100,E3,E3,0.00433,0.152,x,1,TRUE,TRUE,1471,"1438, 1504",227,5.71E+13,25.2,Lya,noisy
RX_J1121.2+0326,2605,NGC3633,2,"('170.30833333333334', '3.4297222222222223')","('170.10924', '3.58561')",0.134205281,0.003836649,128.173492,77.00481154,181.6159905,x,2884,2600,-5,41.2,x,18.1,6.5,69,70,58.1,72.14,.SA.1*/,0.33,72,SAa:_sp_HII,SAa:_sp_HII,0.008673,0.152,x,1,TRUE,FALSE,2605,"2533, 2667",190,4.60E+13,43.3,Lya,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1121.2+0326,6384,x,0,"('170.3083333', '3.429722222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.152,x,0,FALSE,FALSE,6384,"6307, 6413",182,4.70E+13,39.4,Lya,noisy : NO GALAXIES
RX_J1121.2+0326,6975,PGC034796,1,"('170.30833333333334', '3.4297222222222223')","('170.36231', '3.44491')",1.229206551,1.028888788,166.3055372,135.645656,98.8858514,x,7186,6902,-73,101.21,x,26.4,12.9,61,145,70.7,-99.99,x,-99.99,-99,Scd,Scd,0.023022,0.152,x,1,TRUE,TRUE,6975,"6782, 7106",678,1.96E+14,113.3,Lya,noisy : ONLY 1 GALAXY
SDSSJ112224.10+031802.0,1049,NGC3640,11,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",0.239719272,0.191772889,171.913919,145.7872868,129.9524732,x,1582,1298,249,22.7,x,27.7,22.2,37,100,21.6,238.86,.E.3...,-99.99,100,E3,E3,0.00433,0.47528,x,1,TRUE,TRUE,1049,"979, 1113",295,9.59E+13,41.4,Lya,in pilot paper
SDSSJ112224.10+031802.0,1264,NGC3640,21,"('170.60041666666666', '3.3005555555555555')","('170.27854', '3.23483')",1.097284245,0.877815821,171.913919,145.7872868,129.9524732,x,1582,1298,34,22.7,x,27.7,22.2,37,100,21.6,238.86,.E.3...,-99.99,100,E3,E3,0.00433,0.47528,x,1,TRUE,TRUE,1264,"1187, 1359",423,1.51E+14,54.7,Lya,in pilot paper
SDSSJ112224.10+031802.0,6606,PGC034796,1,"('170.60041666666666', '3.3005555555555555')","('170.36231', '3.44491')",1.82E-05,2.25E-07,166.3055372,135.645656,491.2392503,x,7186,6902,296,101.21,x,26.4,12.9,61,145,23.7,-99.99,x,-99.99,-99,Scd,Scd,0.023022,0.47528,x,0,FALSE,FALSE,6606,"6556, 6656",70,1.44E+13,32.9,no,"not identified, looks like it's there to me : ONLY 1 GALAXY"
SDSSJ112224.10+031802.0,8872,SDSSJ112230.40+031545.8,1,"('170.60041666666666', '3.3005555555555555')","('170.62667', '3.26275')",0.899524403,0.094976822,121.7484398,68.85950915,104.124194,x,9208,8924,52,129.69,x,16.8,9.4,56,148,2.7,-99.99,x,-99.99,-99,x,x,0.029767,0.47528,x,1,TRUE,TRUE,8872,"8772, 8966",432,1.39E+14,56.3,Lya,"in pilot paper, blended with Lye : ONLY 1 GALAXY"
SDSSJ112224.10+031802.0,9890,x,0,"('170.6004167', '3.300555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.47528,x,0,FALSE,FALSE,9890,"9837, 9947",51,1.01E+13,48.7,Lya,"weak, in pilot paper : NO GALAXIES"
SDSSJ112224.10+031802.0,10193,x,0,"('170.6004167', '3.300555556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.47528,x,0,FALSE,FALSE,10193,"10136, 10276",197,4.83E+13,42.1,Lya,out of range : NO GALAXIES
RBS1768,4869,x,0,"('324.7079167', '-38.47777778')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18299,x,0,FALSE,FALSE,4869,"4820, 4902",39,7.79E+12,29.7,Lya,in pilot paper : NO GALAXIES
RBS1768,5755,x,0,"('324.7079167', '-38.47777778')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.18299,x,0,FALSE,FALSE,5755,"5662, 5828",378,1.29E+14,45.8,Lya,"in pilot paper, blended with 5864 : NO GALAXIES"
